date_scraped,search_page_num,chemical_name,chemical_page
2019-12-11 07:31:35.643438,244,MASOPROCOL,https://www.ewg.org/skindeep/ingredients/862346-MASOPROCOL
2019-12-11 07:31:35.732307,244,CESTRUM LATIFOLIUM LEAF EXRTACT,https://www.ewg.org/skindeep/ingredients/862371-CESTRUM_LATIFOLIUM_LEAF_EXRTACT
2019-12-11 07:31:35.784426,244,MOMORDICA GROSVENTORI FRUIT EXTRACT,https://www.ewg.org/skindeep/ingredients/862385-MOMORDICA_GROSVENTORI_FRUIT_EXTRACT
2019-12-11 07:31:35.832481,244,CASHMERE EXTRACT,https://www.ewg.org/skindeep/ingredients/862402-CASHMERE_EXTRACT
2019-12-11 07:31:35.878985,244,PYGEUM EXTRACT,https://www.ewg.org/skindeep/ingredients/862407-PYGEUM_EXTRACT
2019-12-11 07:31:35.916484,244,CAFFEOYL GLUCOSIDE,https://www.ewg.org/skindeep/ingredients/862413-CAFFEOYL_GLUCOSIDE
2019-12-11 07:31:35.956582,244,TETRASODIUM TETRACARBOXYMETHYL NARINGENINCHALCONE,https://www.ewg.org/skindeep/ingredients/862422-TETRASODIUM_TETRACARBOXYMETHYL_NARINGENINCHALCONE
2019-12-11 07:31:35.993590,244,QUERCUS MONGOLICA LEAF EXTRACT,https://www.ewg.org/skindeep/ingredients/862436-QUERCUS_MONGOLICA_LEAF_EXTRACT
2019-12-11 07:31:36.103826,244,METROSIDEROS EXCELSA (POHUTUKAWA) EXTRACT,https://www.ewg.org/skindeep/ingredients/862443-METROSIDEROS_EXCELSA_POHUTUKAWA_EXTRACT
2019-12-11 07:31:36.200721,244,KUNZEA AMBIGUA OIL,https://www.ewg.org/skindeep/ingredients/862445-KUNZEA_AMBIGUA_OIL
2019-12-11 07:31:36.358614,244,CAPPARIS MITCHELLII (NATIVE POMEGRANATE) EXTRACT,https://www.ewg.org/skindeep/ingredients/862452-CAPPARIS_MITCHELLII_NATIVE_POMEGRANATE_EXTRACT
2019-12-11 07:31:36.576745,244,TROPAEOLIUM MAJUS (INDIAN CRESS) EXTRACT,https://www.ewg.org/skindeep/ingredients/862459-TROPAEOLIUM_MAJUS_INDIAN_CRESS_EXTRACT
2019-12-11 07:31:36.653095,244,CITRULLUS IANATUS (KALAHARI WATERMELON) SEED OIL,https://www.ewg.org/skindeep/ingredients/862463-CITRULLUS_IANATUS_KALAHARI_WATERMELON_SEED_OIL
2019-12-11 07:31:36.692211,244,VIGNA ANGULARIS (ADZUKI BEAN) POWDER,https://www.ewg.org/skindeep/ingredients/862466-VIGNA_ANGULARIS_ADZUKI_BEAN_POWDER
2019-12-11 07:31:36.731307,244,BARKLYA SYRINGIFOLIA (CROWN OF GOLD) SEED OIL,https://www.ewg.org/skindeep/ingredients/862484-BARKLYA_SYRINGIFOLIA_CROWN_OF_GOLD_SEED_OIL
2019-12-11 07:31:36.768901,244,LACTOBACILLUS/ DAUCUS CAROTA SATIVA (CARROT) ROOT FERMENT FILTRATE,https://www.ewg.org/skindeep/ingredients/862493-LACTOBACILLUSDAUCUS_CAROTA_SATIVA_CARROT_ROOT_FERMENT_FILTRATE
